Genenames	KeggTerms
Cluster-63626.0	ko04210
Cluster-72943.0	ko04210
Cluster-2917.59714	ko04210
Cluster-2917.97061	ko04210
Cluster-2917.145029	ko04210
Cluster-51424.1	ko04210
Cluster-2917.140083	ko04210
Cluster-2917.136236	ko04210
Cluster-2917.66505	ko04110
Cluster-2917.43952	ko04110
Cluster-2917.57803	ko04110
Cluster-2917.144010	ko04110
Cluster-2917.1770	ko04110
Cluster-64497.0	ko04110
Cluster-2917.117417	ko04110
Cluster-2917.107716	ko04110
Cluster-2917.37452	ko04110
Cluster-1008.0	ko04110
Cluster-2917.67064	ko04110
Cluster-759.0	ko04110
Cluster-89551.1	ko04110
Cluster-2917.3928	ko04110
Cluster-2917.51624	ko04110
Cluster-2917.655	ko04114
Cluster-759.0	ko04114
Cluster-2917.660	ko04114
Cluster-2917.120722	ko04114
Cluster-2917.136236	ko04114
Cluster-64497.0	ko04114
Cluster-2917.134362	ko04114
Cluster-1008.0	ko04114
Cluster-691.0	ko04114
Cluster-2917.121665	ko04114
Cluster-2917.3928	ko04114
Cluster-2917.1645	ko04114
Cluster-77417.0	ko04114
Cluster-2917.62727	ko04114
Cluster-2917.120618	ko04114
Cluster-17946.0	ko04114
Cluster-63626.0	ko04115
Cluster-2917.65952	ko04115
Cluster-2917.115347	ko04115
Cluster-2917.49911	ko04115
Cluster-2917.57803	ko04115
Cluster-2917.43719	ko04115
Cluster-2917.97061	ko04115
Cluster-2917.131949	ko04115
Cluster-2917.170601	ko04115
Cluster-71861.0	ko04115
Cluster-2917.100021	ko04810
Cluster-1193.0	ko04810
Cluster-2917.137076	ko04810
Cluster-2917.86390	ko04810
Cluster-1259.0	ko04810
Cluster-2917.71298	ko04810
Cluster-57856.0	ko04810
Cluster-2917.134362	ko04810
Cluster-81003.1	ko04810
Cluster-2917.118084	ko04810
Cluster-2917.59714	ko04810
Cluster-2917.43484	ko04810
Cluster-2917.109234	ko04810
Cluster-17946.0	ko04810
Cluster-2917.134698	ko04810
Cluster-2917.114789	ko04810
Cluster-2917.40166	ko04810
Cluster-335.0	ko04520
Cluster-6260.0	ko04520
Cluster-2917.100021	ko04520
Cluster-1193.0	ko04520
Cluster-66756.0	ko04520
Cluster-2917.114056	ko04520
Cluster-2917.37452	ko04520
Cluster-97603.1	ko04520
Cluster-57856.0	ko04520
Cluster-2917.105601	ko04520
Cluster-2917.111982	ko04520
Cluster-2917.40404	ko04520
Cluster-2917.66505	ko04520
Cluster-2917.57803	ko04510
Cluster-1259.0	ko04510
Cluster-57856.0	ko04510
Cluster-2917.105601	ko04510
Cluster-2917.161139	ko04510
Cluster-2917.134362	ko04510
Cluster-2917.93211	ko04510
Cluster-51424.1	ko04510
Cluster-2917.139988	ko04510
Cluster-1193.0	ko04510
Cluster-2917.100021	ko04510
Cluster-2917.51624	ko04510
Cluster-2917.135962	ko04510
Cluster-335.0	ko04510
Cluster-2917.32340	ko04510
Cluster-2917.86390	ko04510
Cluster-17946.0	ko04510
Cluster-2917.132761	ko04510
Cluster-2917.105675	ko04510
Cluster-2917.109234	ko04510
Cluster-2917.2882	ko04510
Cluster-63042.0	ko04510
Cluster-2917.134698	ko04510
Cluster-2917.117818	ko04510
Cluster-2917.40166	ko04510
Cluster-2917.114789	ko04510
Cluster-2917.118084	ko04510
Cluster-81003.1	ko04510
Cluster-2917.59714	ko04510
Cluster-1259.0	ko04540
Cluster-2917.161062	ko04540
Cluster-2917.136236	ko04540
Cluster-2917.98911	ko04540
Cluster-1193.0	ko04540
Cluster-668.0	ko04540
Cluster-2917.655	ko04540
Cluster-2917.660	ko04540
Cluster-2917.147438	ko04540
Cluster-2917.143673	ko04540
Cluster-2917.104380	ko04540
Cluster-2917.90811	ko04540
Cluster-17946.0	ko04540
Cluster-63042.0	ko04540
Cluster-2917.81436	ko04540
Cluster-2917.1645	ko04540
Cluster-2917.159413	ko04550
Cluster-2917.40051	ko04550
Cluster-2917.59714	ko04550
Cluster-2917.134996	ko04550
Cluster-2917.85661	ko04550
Cluster-61157.0	ko04550
Cluster-17946.0	ko04550
Cluster-96258.0	ko04550
Cluster-2917.44214	ko04550
Cluster-2917.37452	ko04550
Cluster-2917.134995	ko04550
Cluster-48310.0	ko04550
Cluster-335.0	ko04550
Cluster-2917.112288	ko04550
Cluster-2917.51624	ko04550
Cluster-51424.1	ko04550
Cluster-2917.105601	ko04550
Cluster-2917.120618	ko04530
Cluster-2917.125190	ko04530
Cluster-2917.9307	ko04530
Cluster-2917.127158	ko04530
Cluster-2917.123669	ko04530
Cluster-62299.0	ko04530
Cluster-63042.0	ko04530
Cluster-2917.123671	ko04530
Cluster-2917.86390	ko04530
Cluster-335.0	ko04530
Cluster-2917.100021	ko04530
Cluster-51424.1	ko04530
Cluster-2917.105601	ko04530
Cluster-2917.105524	ko04530
Cluster-2917.120722	ko04530
Cluster-2917.161062	ko04530
Cluster-2917.37452	ko04144
Cluster-2917.131379	ko04144
Cluster-2917.100021	ko04144
Cluster-1193.0	ko04144
Cluster-2917.105407	ko04144
Cluster-2917.115508	ko04144
Cluster-2917.103422	ko04144
Cluster-2917.7244	ko04144
Cluster-1259.0	ko04144
Cluster-67834.1	ko04144
Cluster-2917.163407	ko04144
Cluster-2917.132010	ko04144
Cluster-2917.41564	ko04144
Cluster-67618.0	ko04144
Cluster-2917.127158	ko04144
Cluster-58582.0	ko04144
Cluster-66756.0	ko04144
Cluster-2917.70549	ko04144
Cluster-2917.124824	ko04144
Cluster-2917.55238	ko04144
Cluster-452.0	ko04144
Cluster-2917.118084	ko04144
Cluster-2917.64603	ko04144
Cluster-2917.65573	ko04144
Cluster-2917.96480	ko04144
Cluster-2917.123138	ko04144
Cluster-2917.47906	ko04144
Cluster-2917.143970	ko04142
Cluster-2917.77343	ko04142
Cluster-3831.3	ko04142
Cluster-2917.137400	ko04142
Cluster-2917.87209	ko04142
Cluster-2917.65418	ko04142
Cluster-2917.159966	ko04142
Cluster-2917.138756	ko04142
Cluster-2917.109624	ko04142
Cluster-2917.73909	ko04142
Cluster-2917.112169	ko04142
Cluster-2917.148784	ko04142
Cluster-2917.98594	ko04142
Cluster-47607.0	ko04142
Cluster-2917.99244	ko04142
Cluster-2917.55791	ko04142
Cluster-2917.107052	ko04142
Cluster-2917.138767	ko04142
Cluster-2917.82873	ko04142
Cluster-2917.7100	ko04142
Cluster-2917.93312	ko04142
Cluster-16881.2	ko04142
Cluster-2917.110274	ko04142
Cluster-50645.0	ko04142
Cluster-2917.51338	ko04142
Cluster-2917.99301	ko04142
Cluster-2917.92037	ko04142
Cluster-17435.0	ko04142
Cluster-2917.15124	ko04142
Cluster-2917.115991	ko04142
Cluster-62713.1	ko04142
Cluster-2917.148759	ko04142
Cluster-2917.114529	ko04142
Cluster-2917.105918	ko04142
Cluster-2917.100587	ko04142
Cluster-2917.60311	ko04142
Cluster-2917.80997	ko04142
Cluster-2917.100972	ko04142
Cluster-2917.24547	ko04142
Cluster-2917.57513	ko04142
Cluster-2917.67742	ko04142
Cluster-2917.106625	ko04142
Cluster-55662.0	ko04142
Cluster-2917.47906	ko04142
Cluster-2917.68222	ko04142
Cluster-2917.118268	ko04142
Cluster-2917.146372	ko04142
Cluster-2917.130511	ko04142
Cluster-2917.48978	ko04142
Cluster-2917.138114	ko04142
Cluster-2917.133010	ko04142
Cluster-2917.155145	ko04142
Cluster-2917.111753	ko04142
Cluster-2917.108212	ko04142
Cluster-2917.113097	ko04142
Cluster-2917.114411	ko04142
Cluster-2917.10252	ko04146
Cluster-2917.107354	ko04146
Cluster-2917.99764	ko04146
Cluster-2917.124421	ko04146
Cluster-2917.171579	ko04146
Cluster-55437.1	ko04146
Cluster-97581.0	ko04146
Cluster-2917.77244	ko04146
Cluster-61646.1	ko04146
Cluster-82843.0	ko04146
Cluster-2917.171304	ko04146
Cluster-2917.127739	ko04146
Cluster-2917.24980	ko04146
Cluster-36263.0	ko04146
Cluster-81143.0	ko04146
Cluster-66724.0	ko04146
Cluster-2917.53406	ko04146
Cluster-2917.95956	ko04146
Cluster-85937.0	ko04146
Cluster-2917.164788	ko04146
Cluster-70190.0	ko04146
Cluster-2917.26039	ko04146
Cluster-2917.16093	ko04146
Cluster-43267.1	ko04146
Cluster-94658.0	ko04146
Cluster-82109.0	ko04146
Cluster-97015.0	ko04146
Cluster-2917.102645	ko04146
Cluster-2917.122321	ko04146
Cluster-23188.0	ko04146
Cluster-2917.1080	ko04146
Cluster-49038.1	ko04146
Cluster-26497.0	ko04146
Cluster-2917.55272	ko04146
Cluster-42391.0	ko04146
Cluster-76460.0	ko04146
Cluster-2917.146536	ko04146
Cluster-26579.0	ko04146
Cluster-5603.0	ko04146
Cluster-2917.156599	ko04146
Cluster-2917.48814	ko04146
Cluster-2917.159394	ko04146
Cluster-2917.119432	ko04146
Cluster-21557.0	ko04146
Cluster-11625.0	ko04146
Cluster-84933.0	ko04146
Cluster-62445.1	ko04146
Cluster-2917.111204	ko04146
Cluster-92098.4	ko04146
Cluster-44105.0	ko04146
Cluster-2917.154852	ko04146
Cluster-2917.27705	ko04146
Cluster-2917.1937	ko04146
Cluster-13408.0	ko04146
Cluster-2917.24985	ko04146
Cluster-2917.57000	ko04146
Cluster-2917.163475	ko04146
Cluster-2917.141401	ko04146
Cluster-81985.0	ko04145
Cluster-2917.110274	ko04145
Cluster-64812.1	ko04145
Cluster-2917.114411	ko04145
Cluster-91632.0	ko04145
Cluster-2917.108212	ko04145
Cluster-2917.99301	ko04145
Cluster-2917.117960	ko04145
Cluster-2917.81436	ko04145
Cluster-2917.84511	ko04145
Cluster-2917.114789	ko04145
Cluster-2917.48978	ko04145
Cluster-2917.90811	ko04145
Cluster-91632.1	ko04145
Cluster-2917.96480	ko04145
Cluster-2917.104380	ko04145
Cluster-2917.60311	ko04145
Cluster-2917.105918	ko04145
Cluster-2917.79858	ko04145
Cluster-2917.143673	ko04145
Cluster-2917.99244	ko04145
Cluster-2917.105775	ko04145
Cluster-668.0	ko04145
Cluster-2917.98911	ko04145
Cluster-2917.77343	ko04145
Cluster-57856.0	ko04145
Cluster-2917.7244	ko04145
Cluster-59437.0	ko04145
Cluster-2917.112610	ko04140
Cluster-2917.97678	ko04140
Cluster-2917.117960	ko04140
Cluster-2917.145975	ko04140
Cluster-2917.103439	ko02010
Cluster-97404.0	ko02010
Cluster-2917.105627	ko02010
Cluster-2917.148089	ko02010
Cluster-58457.0	ko02010
Cluster-2917.22754	ko02010
Cluster-43845.3	ko02010
Cluster-12398.0	ko02010
Cluster-2917.96736	ko02010
Cluster-2917.103152	ko02010
Cluster-2917.116033	ko02010
Cluster-2917.70710	ko02010
Cluster-681.0	ko02010
Cluster-2917.143750	ko02010
Cluster-62445.1	ko02010
Cluster-2917.171419	ko02010
Cluster-31188.0	ko02010
Cluster-2917.155145	ko02010
Cluster-2917.115617	ko02010
Cluster-2917.138786	ko02010
Cluster-91262.2	ko02010
Cluster-2917.116679	ko02010
Cluster-60468.1	ko02010
Cluster-2917.115102	ko02010
Cluster-21421.0	ko02010
Cluster-8013.0	ko02010
Cluster-2917.132516	ko02010
Cluster-2917.128883	ko02010
Cluster-2917.43610	ko02010
Cluster-2917.172002	ko02010
Cluster-31449.0	ko02010
Cluster-2917.138756	ko02010
Cluster-2917.162230	ko02010
Cluster-2917.95294	ko02010
Cluster-49844.0	ko02010
Cluster-75741.0	ko02010
Cluster-2917.60577	ko02010
Cluster-24514.0	ko02010
Cluster-89651.1	ko02010
Cluster-2917.84962	ko02010
Cluster-2917.59836	ko02010
Cluster-2917.48110	ko02010
Cluster-50645.0	ko02010
Cluster-2917.135568	ko02010
Cluster-2917.119462	ko02010
Cluster-94089.0	ko02010
Cluster-22532.0	ko02010
Cluster-2917.7305	ko02010
Cluster-2917.21669	ko02010
Cluster-2917.138767	ko02010
Cluster-2917.102847	ko04152
Cluster-2917.163837	ko04152
Cluster-2917.130333	ko04152
Cluster-2917.161701	ko04152
Cluster-37304.0	ko04152
Cluster-2917.29859	ko04152
Cluster-140.0	ko04152
Cluster-2917.114929	ko04152
Cluster-2917.131439	ko04152
Cluster-2917.37945	ko04152
